i	treeindex	accept	nnodes	distance	loglik	post	loga	Q	ru
7560	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-106.214672839974	22.5	-1.74010694338805
7561	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-100.176572549437	1	-1.10645181429532
7562	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-715.58110150649	1	-0.944470253946542
7563	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-106.214672839974	22.5	-0.716413247602811
7564	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.78201467086314	0.0431034482758621	-0.0254916885121588
7565	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.87491758963501	0.0431034482758621	-2.57686156339827
7566	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.1012764876154	0.0431034482758621	-0.015369585373387
7567	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-907.639547378079	1	-0.918334249812097
7568	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-106.214672839974	22.5	-1.67668052318912
7569	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.69008431314927	0.0431034482758621	-0.868599471298067
7570	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-708.645048921487	22.5	-0.620764367735235
7571	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-93.692730264272	22.5	-0.0982542602653905
7572	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-714.145495104796	1	-1.14295381675708
7573	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	NA	0.0431034482758621	-1.93760405635128
7574	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-93.692730264272	22.5	-0.977188559102071
7575	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-112.875774362266	1	-0.760507029023885
7576	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.27226749577443	0.0431034482758621	-1.11428140865783
7577	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.1012764876154	0.0431034482758621	-0.283160857992979
7578	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-4.96866201287179	0.0431034482758621	-3.22918758798431
7579	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-5.00860465830687	0.0431034482758621	-0.0474009741593274
7580	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-112.508185385261	1	-3.23331657491407
7581	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-708.645048921487	22.5	-0.804257309416238
7582	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-907.24583228265	1	-0.766506272086021
7583	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-98.1041710823083	1	-4.84726536490555
7584	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-2.87603884503165
7585	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-1.33171197306472
7586	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-99.714088493376	1	-0.312004280771136
7587	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-907.837438113584	1	-1.98098712788234
7588	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-93.692730264272	22.5	-0.738550777445096
7589	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.19612172192268	0.0431034482758621	-1.06013660451818
7590	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-715.555586165192	1	-0.647223984930561
7591	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-708.645048921487	22.5	-2.41637012057484
7592	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-1.59458705831466
7593	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-106.214672839974	22.5	-1.26496823251343
7594	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-93.692730264272	22.5	-0.692202463055366
7595	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.82410295848371	0.0431034482758621	-2.28634161224849
7596	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-113.105159928935	1	-0.293478494947364
7597	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-708.645048921487	22.5	-0.0894904767717006
7598	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-93.692730264272	22.5	-1.60563272626348
7599	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.55392963897015	0.0431034482758621	-3.00048635751373
7600	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-100.46149093542	1	-0.534994650012848
7601	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-106.214672839974	22.5	-0.261081430007638
7602	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.78771945380271	0.0431034482758621	-0.590469790680452
7603	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-0.342693718730411
7604	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-5.07539505937661	0.0431034482758621	-1.95327300897328
7605	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-708.645048921487	22.5	-0.188764895042945
7606	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-1.73233087084102
7607	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-100.395229410988	1	-0.581371089464978
7608	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-0.528706446034967
7609	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.2889612910198	0.0431034482758621	-0.591600963370839
7610	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.27585744173251	0.0431034482758621	-2.34784547401155
7611	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-0.692243089820026
7612	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.26112927415437	0.0431034482758621	-2.27693568595605
