i	distance	psi	newpsi	ipsi	newipsi	likratio	priorratio	hratio	accept
7085	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7086	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7087	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7088	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7089	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7090	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7091	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7092	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7093	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7094	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7095	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7096	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7097	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7098	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7099	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7100	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7101	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7102	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7103	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7104	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7105	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7106	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7107	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7108	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7109	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7110	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7111	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7112	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7113	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7114	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7115	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7116	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7117	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7118	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7119	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7120	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7121	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7122	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7123	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7124	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7125	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7126	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7127	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7128	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7129	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7130	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7131	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7132	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7133	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7134	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7135	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7136	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7137	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7138	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7139	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7140	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7141	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7142	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7143	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7144	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7145	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7146	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7147	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7148	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7149	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7150	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7151	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7152	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7153	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7154	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7155	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7156	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
